❗️,❓,Category,Start,End,Conference,Location,Description
FALSE,FALSE,AI,19 May,20 May,Gartner Digital Workplace Summit,"London, UK","Premier conference to help digital workplace leaders tasked with enhancing digital employee experience, leveraging GenAI and improving technology adoption."
FALSE,FALSE,AI,19 May,23 May,ML Conference,"San Diego, USA",(Javier's list) The Event for Generative AI & Machine Learning Engineering
FALSE,FALSE,AI,27 May,,CDAO Indonesia,"Jakarta, Indonesia","(Javier's list) designed for senior data and analytics leaders, including CDAOs, CTOs, Directors, and Managers from various sectors across Indonesia. If you specialize in data, analytics, ML, AI, business intelligence, or insights, this event offers a unique opportunity to engage with top professionals and expand your network in the data analytics field. "
FALSE,FALSE,AI,27 May,29 May,The AI Summit Singapore,Singapore,"Part of Asia Tech x Singapore. Visionary insights, impactful networking, and actionable strategies from industry leaders. "
FALSE,FALSE,Ethereum,27 May,29 May,ETH Prague,"Prague, Czech Republic",
FALSE,FALSE,Bitcoin,27 May,29 May,Bitcoin 2025,"Las Vegas, USA",(Jin is going) Largest exposition of Bitcoin companies in the world
FALSE,FALSE,AI,28 May,30 May,Imagine AI Live,"Las Vegas, USA","(Javier's list) AI agents, art, automation. AI conference for enterprises"
FALSE,FALSE,Ethereum,29 May,,Pragma Prague,"Prague, Czech Republic","Conference, by ETH Global"
FALSE,FALSE,Ethereum,30 May,1 June,ETH Global Prague,"Prague, Czech Republic",Hackathon
FALSE,FALSE,AI,8 June,13 June,AI Con USA,"Seattle, USA","(Javier's list) AI Con USA brings together leading experts, researchers, innovators, and companies from around the globe to explore the latest developments in AI and machine learning"
FALSE,FALSE,AI,9 June,12 June,Databricks Data & AI Summit,"San Francisco, USA","(Javier's list) Join thousands of data leaders, engineers, scientists and architects to explore the convergence of data and AI"
FALSE,FALSE,AI,11 June,12 June,The AI Summit London,"London, UK","Now in our ninth year, the summit delivers cutting-edge insights, high-value connections and strategies to accelerate AI-driven growth - whether you're streamlining operations or reshaping entire industries."
TRUE,FALSE,DAO,16 June,18 June,DappCon,"Berlin, Germany",by Gnosis since 2018
FALSE,FALSE,AI,18 June,19 June,SuperAI Singapore,Singapore,"Token2049 same organizer, SuperAI is the most anticipated AI conference defining the future of artificial intelligence"
FALSE,FALSE,Bitcoin,19 June,21 June,BTC Prague,"Prague, Czech Republic","(Jin is going) The biggest, most influential bitcoin event in Europe ever. 3rd edition!"
FALSE,FALSE,DAO,23 June,24 June,DAWO25 European DAO Workshop,"Zurich, Switzerland","Academic event. The 2-day workshop brings together researchers examining the potential of DAOs, leveraging a culture of participation to fosters innovation and knowledge transfer between academics to advance DAO as a new organizational structure. "
FALSE,FALSE,Ethereum,24 June,,ETH Milan,"Milan, Italy",
FALSE,FALSE,Ethereum,24 June,26 June,Permissionless IV,"Brooklyn, USA",Eth community event
FALSE,TRUE,Ethereum,30 June,3 July,ETH Community Conference,"Cannes, France",The Ethereum Community Conference (EthCC) is the largest annual European Ethereum event focused on technology and community
FALSE,FALSE,Web3,2 July,4 July,IVS Crypto 2025,"Kyoto, Japan","Since 2007, largest Web3 conference in Japan"
FALSE,FALSE,Ethereum,3 July,,Pragma Cannes,"Cannes, France","Conference, by ETH Global"
FALSE,FALSE,Ethereum,4 July,6 July,ETH Global Cannes,"Cannes, France",Hackathon
FALSE,TRUE,AI,8 July,9 July,RAISE Summit,"Paris, France","Premier event for professionals seeking to disrupt, build, and connect in the AI landscape, 5k attendees"
FALSE,FALSE,Web2,9 July,11 July,WeAreDevelopers World Congress,"Berlin, Germany","GitHub is attending. Largest gathering of software innovators, tech leaders, and decision-makers shaping the future of AI-powered technology."
FALSE,FALSE,AI,8 July,11 July,AI for Good Global Summit,"Geneva, Switzerland","UN's event. Empowering youth globally to lead the AI revolution with fair access, impactful change, and ethical integrity."
FALSE,FALSE,AI,11 August,13 August,Ai4,"Las Vegas, USA",(Javier's list) Ai4 is North America’s largest artificial intelligence industry event. Join thousands of executives and technology innovators at the epicenter of the global AI community.
FALSE,FALSE,Ethereum,14 August,,Pragma New York,"New York, USA","Conference, by ETH Global"
FALSE,FALSE,Ethereum,15 August,17 August,ETH Global New York,"New York, USA",Hackathon
FALSE,FALSE,AI,16 August,22 August,IJCAI Montreal,"Montreal, Canada","(Javier's list) the 34th International Joint Conference on Artificial Intelligence, the premier international gathering of researchers in AI!"
FALSE,TRUE,Web3,25 August,26 August,WebX,"Tokyo, Japan","WebX2025 is produced by CoinPost, Japan's largest Web3 media. argest global conference gathering professionals related to crypto assets, blockchain, and other Web3 technologies"
FALSE,FALSE,Bitcoin,28 August,29 August,Bitcoin Asia,Hong Kong,Thousands of bitcoiners and hard-hitting keynotes and panels from the biggest names in bitcoin and beyond.
FALSE,FALSE,Web2,3 September,4 September,Product Operations Summit,"San Francisco, USA","Brightest minds in product ops for two days of unrivaled networking, learning, and discussion"
FALSE,FALSE,Ethereum,12 September,,ETH Tokyo Conference,"Tokyo, Japan",
FALSE,FALSE,Ethereum,13 September,,ETH Tokyo Hackathon,"Tokyo, Japan",
FALSE,FALSE,AI,17 September,,Momentum AI 2025,Singapore,Reuters event. Join the elite group of C-suite pioneers who are rewriting the rules of their industries with AI-driven strategies.
TRUE,FALSE,Web3,22 September,27 September,Korea Blockchain Week,"Seoul, Korea",(Jin is going)
TRUE,FALSE,Web3,1 October,2 October,Token2049 Singapore,Singapore,(Jin is going)
FALSE,FALSE,Web2,5 October,7 October,GoLab Italy,"Florence, Italy","Made by developers for developers. Established in 2015, GoLab is one of the oldest and most renowned conferences in the world, attracting a large audience of Gophers from all over the globe."
FALSE,FALSE,AI,8 October,,AI & Business strategies,"Helsinki, Finland","(Javier's list) event that delves into the heart of AI integration within business strategies, internal scaling of AI processes, and the crucial aspects of AI ethics and governance."
FALSE,FALSE,AI,8 October,9 October,World Summit AI Amsterdam,"Amsterdam, Netherlands","WSAI gathers the global AI ecosystem of Enterprise, Big Tech, Startups, Investors, Science and Academia to set the global AI agenda, every October in Amsterdam."
FALSE,FALSE,AI & Web3,8 October,10 October,NexTech Week Tokyo Autumn,"Tokyo, Japan","(Javier's list) The exhibition will feature products and solutions related to AI, blockchain, and quantum computing. Various industries such as manufacturing, social infrastructure, retail, logistics, medical, finance, and government."
FALSE,FALSE,Web3,12 October,15 October,Future Blockchain Summit,"Dubai, UAE",
FALSE,TRUE,AI,13 October,17 October,GITEX Global,"Dubai, UAE",(Javier's list) biggest event in AI with 200k+ tech executives
FALSE,FALSE,AI,15 October,16 October,Generative AI Summit Boston,"Boston, USA","(Javier's list) Boston's community of applied engineers, developers & executives is assembling. Facilitating the LLM & multimodal AI era, and leave with the tools to scale powerful, cost-effective applications on the journey to AGI."
FALSE,FALSE,AI,22 October,23 October,PyTorch Conference 2025,"San Francisco, USA",(Javier's list) Google is a platinum sponsor - other than that not much info
FALSE,FALSE,AI,27 October,29 October,GovAI,"Arlington, USA",(Javier's list) AI is Re-Shaping the Public Sector IT Landscape
FALSE,FALSE,AI,5 November,6 November,CASES Conversational AI & CE Summit,"Munich, Germany","(Javier's list) Experience the transformative potential of Conversational AI and customer-centric approaches at our event—an exclusive platform designed for learning, networking, and engaging with industry experts."
FALSE,FALSE,AI,6 November,,Dot AI,"Paris, France",(Javier's list) The world's brightest conference for AI BUILDERS
FALSE,FALSE,AI,6 November,,Generative AI Summit London,"London, UK","(Javier's list) Uniting Europe's engineers, builders & executives unleashing the latest tech revolution."
FALSE,FALSE,AI,10 November,11 November,AI Summit Seoul,"Seoul, Korea","The 8th AI Summit focusing on AI integration in industry. It will gather professionals from global companies, institutions, and academia to explore AI trends."
FALSE,TRUE,AI,17 November,21 November,Microsoft Ignite,"San Francisco, USA","annual conference for developers, IT professionals and partners, hosted by Microsoft. A range of AI topics"
FALSE,FALSE,AI,18 November,19 November,CDAO Fall 2025,"Boston, USA","(Javier's list) #1 facilitator of high-quality peer connections and learning for CDAO’s and senior level Data & AI leaders across North America. Featuring over 200 speakers and 500 attendees, this is the annual meeting place for all senior data decision-makers from leading corporations across the country."
FALSE,FALSE,AI,18 November,21 November,Big Data Conference Europe 2025,"Vilnius, Lithuania","(Javier's list) four-day event that focuses on technical discussions in the areas of Big Data, High Load, Data Science, Machine Learning and AI."
FALSE,FALSE,AI,10 December,11 December,The AI Summit New York,"New York, USA","(Javier's list) Celebrating 10 years in 2025, The AI Summit New York continues to serve as a trusted source of AI insights, bringing together industry leaders to transform theoretical AI discussions into practical and profitable applications."
FALSE,TRUE,Web2,28 October,29 October,GitHub Universe,"San Francisco, USA",
FALSE,FALSE,Solana,11 December,13 December,Solana Breakpoint 2025,"Abu Dhabi, UAE",(Jin is going) Official Solana ecosystem event
